CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
47157980100,TN,Shelby,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,62.0,0.9841270000000001,0,63,U,62.95303215,0.9992544790000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.80895848,0.9017295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47157980200,TN,Shelby,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.0,0.0,0,3,R,3.000000137,1.000000046,0.0,0.0,1.000000048,1.000000048,0.0,0.0,0.0,0.0,2.997294862,0.999098287,0.0,0.0,0.9990982890000001,0.9990982890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47157980300,TN,Shelby,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47157980400,TN,Shelby,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,9,280.0,0.9556314,0,293,R,290.8913618,0.992803283,0.0,0.0,32.99999995,0.999999998,5.026787074,0.837797846,0.0,0.0,288.66517139999996,0.985205363,0.0,0.0,32.99999995,0.999999998,3.999314594,0.666552432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47159975000,TN,Smith,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1537,3.0,0.0007507999999999999,0,3996,R,3995.999963,0.9999999909999999,1602.925282,0.40113245299999994,966.9999912999999,0.9999999909999999,497.9999967,0.999999993,56.06127165,0.036474477000000005,3966.301869,0.992568035,1596.293669,0.39947289,959.8326287999997,0.9925880340000001,496.4346794,0.9968567859999999,55.81187691,0.036312217,4.19236958,0.0010491419999999999,2.500871181,0.000625844,1.138389409,0.001177238,0.396143921,0.00079547,0.12672556199999999,8.240000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47159975100,TN,Smith,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1170,156.0,0.0530432,1,2941,C,1972.0646940000001,0.670542228,809.5062357999999,0.275248635,449.11586189999997,0.67739949,340.2599389,0.626629722,65.71358286,0.056165455,695.7713746000003,0.236576462,245.4164363,0.083446595,139.0902814,0.209789263,134.55845549999998,0.247805627,12.93882986,0.011058829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47159975200,TN,Smith,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2144,0.0,0.0,0,5634,R,5226.732594,0.927712566,1737.820257,0.30845229999999996,1309.539295,0.9222107709999999,660.6984512,0.9371609240000001,86.41706487,0.040306467,4612.580006,0.8187042959999999,1508.863192,0.267813843,1158.0565470000001,0.81553278,566.3986892000001,0.803402396,64.88659218,0.030264269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47159975300,TN,Smith,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,821,0.0,0.0,1,2132,R,2131.999989,0.999999995,882.7591616000003,0.41405214,519.9999953,0.9999999909999999,280.99999760000003,0.999999992,46.37227172,0.05648267,2125.760194,0.997073262,880.1755609999999,0.412840319,518.1717751,0.996484183,280.52307060000004,0.998302742,46.24207085,0.056324081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47159975400,TN,Smith,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1738,0.0,0.0,0,4463,R,4463.0000009999985,1.0,972.0763804,0.217807838,1072.9999970000001,0.9999999970000001,576.0000014999998,1.000000003,45.21429991,0.026015132000000003,4463.0000009999985,1.0,972.0763804,0.217807838,1072.9999970000001,0.9999999970000001,576.0000014999998,1.000000003,45.21429991,0.026015132000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47161110200,TN,Stewart,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,2529,0.0,0.0,0,6544,R,6543.999988000001,0.999999998,2509.607503,0.383497479,1636.0,1.0,887.9999992999999,0.999999999,171.50251169999999,0.06781435799999999,6543.999988000001,0.999999998,2509.607503,0.383497479,1636.0,1.0,887.9999992999999,0.999999999,171.50251169999999,0.06781435799999999,1928.9647,0.29476844399999996,694.6065539,0.10614403300000001,469.1385585,0.28675951,266.22961349999997,0.299808123,55.87842673,0.022095068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47161110600,TN,Stewart,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1037,0.0,0.0,0,2547,R,2546.999996,0.999999998,1267.769372,0.49775004799999994,555.9999957,0.999999992,423.9999973,0.9999999940000001,89.06155314,0.085883851,2546.532484,0.999816445,1267.543525,0.497661376,555.9851866,0.999973357,423.79141699999997,0.9995080590000001,89.04592687,0.08586878199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47161110700,TN,Stewart,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1820,92.0,0.021734,0,4233,R,4042.6920229999996,0.95504182,1733.9012910000001,0.409615235,821.4899993,0.9619320840000001,873.0354764,0.958326538,122.6616127,0.06739649,3686.662923,0.870933835,1576.317763,0.37238784799999997,755.6431342999997,0.884828026,806.776317,0.885594201,116.70188190000002,0.064121913,0.022369023,5.28e-06,0.009168755,2.17e-06,0.004970894,5.82e-06,0.004970894,5.46e-06,0.00039777599999999997,2.19e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47161980100,TN,Stewart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47161980200,TN,Stewart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040200,TN,Sullivan,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1201,177.0,0.06873789999999999,1,2575,U,2461.771425,0.956027738,1620.0298050000001,0.629137788,501.50389400000006,0.9570685,427.1985784,0.977571118,353.3796594,0.294237851,1009.362076,0.3919852720000001,726.2444576,0.282036683,224.50370640000003,0.42844218799999995,179.17895009999995,0.410020481,140.8078883,0.117242205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040300,TN,Sullivan,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1332,0.0,0.0,1,2656,U,1876.6460329999998,0.7065685359999999,826.3169441,0.311113307,326.1210343,0.689473645,375.4269276,0.668019444,64.89000347,0.048716219000000005,185.8562602,0.069976002,90.02332968,0.033894326,37.20684616,0.078661408,32.49396973,0.057818450999999986,4.437115614,0.003331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040500,TN,Sullivan,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1850,0.0,0.0,1,4264,U,4015.1915240000003,0.941649044,2389.661761,0.560427242,1008.179932,0.9422242359999999,645.4928673,0.9314471390000001,140.7941755,0.07610496,2276.729698,0.533942237,1554.718295,0.364614985,642.3190966,0.600298221,274.1121682,0.395544254,100.0914259,0.054103473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040600,TN,Sullivan,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1477,9.0,0.0026818000000000002,1,3356,U,2149.417655,0.6404701,1592.391027,0.47449077100000003,583.9310247999998,0.7086541559999999,336.7032136,0.630530362,136.55974730000003,0.092457513,572.3033320000002,0.170531386,396.96771939999996,0.11828597099999999,108.496517,0.13167053,119.75478390000002,0.224259895,6.73565725,0.004560364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040700,TN,Sullivan,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1148,159.0,0.061461199999999994,0,2587,U,1647.263421,0.636746587,169.51615890000005,0.065526153,293.018791,0.6846233429999999,488.8853828,0.592588343,40.47935194,0.03526076,265.6344242,0.102680489,19.45843547,0.007521621999999999,55.52993762,0.129742845,56.31530651,0.068260978,2.159920289,0.001881464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040800,TN,Sullivan,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1569,204.0,0.0561519,1,3633,U,2778.978947,0.7649267679999999,1183.718339,0.32582393,602.1798561,0.794432528,669.085369,0.770835679,99.37046255,0.063333628,145.0319829,0.039920722,54.51624405,0.015005848,22.78917849,0.030064879,62.17665908,0.07163209599999999,1.982534047,0.001263565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163040900,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1388,13.0,0.004026,0,3229,U,3212.7720329999997,0.9949743059999999,1005.4022060000001,0.311366431,736.52716,0.9953069729999999,660.1310348,0.99118774,99.52972175,0.071707292,2278.6725739999997,0.705689865,705.4746531000003,0.218480846,487.4756157,0.6587508320000001,470.8581584,0.706994232,57.86481374,0.041689347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041000,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1599,41.0,0.0101185,0,4052,R,2783.552099,0.686957576,659.1224699,0.16266596,659.8488055,0.701966814,469.35861460000007,0.617577125,23.93745033,0.014970263000000001,1642.165921,0.40527293200000003,351.5013259,0.086747613,389.01898439999997,0.413849983,270.2718519,0.355620858,12.60187111,0.007881095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041100,TN,Sullivan,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1103,0.0,0.0,0,2375,U,1185.252108,0.499053519,272.536627,0.114752264,230.8616744,0.50962842,263.3786622,0.478001202,21.7581558,0.019726343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041200,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2786,0.0,0.0,0,6526,U,5456.2077100000015,0.836072282,1213.246199,0.185909623,1141.067074,0.859237255,1041.306619,0.783526425,47.35295224,0.016996752,3224.598317,0.494115586,703.7256476,0.107834148,698.9595656,0.526324974,577.9606567000002,0.434883865,23.38900663,0.008395193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041300,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1688,0.0,0.0,0,4268,R,4267.9999689999995,0.999999993,1070.116111,0.25073011,966.9999974,0.9999999970000001,602.999996,0.999999993,50.93904517,0.030177159,4261.238571,0.998415785,1068.3127960000004,0.25030759,965.726779,0.998683329,601.6521097,0.9977646929999999,50.89236941,0.030149508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041400,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2345,8.0,0.0014472,0,5528,R,5293.0415729999995,0.957496667,1918.7176949999998,0.347090755,1096.764954,0.957037482,895.7893839,0.954999343,57.90847174,0.024694444,4909.133068,0.8880486740000001,1737.579604,0.314323373,1015.5560710000001,0.886174582,832.3854085,0.8874044870000001,52.49948669,0.022387841000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041500,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1199,0.0,0.0,0,2609,U,2424.113001,0.9291349179999999,293.18773230000005,0.11237552,450.02005870000005,0.9202864190000001,591.4831144,0.9314694720000001,0.0,0.0,1486.435148,0.569733671,188.643889,0.072305055,288.9826181,0.590966499,328.4014591,0.517167652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041600,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1138,0.0,0.0,0,2617,U,2183.993716,0.8345409690000001,435.731408,0.166500347,440.7415558,0.8192222229999999,453.36637980000006,0.836469335,41.42245895,0.036399349,612.2508828,0.23395142600000002,120.77277649999999,0.046149322,122.0888534,0.226930954,104.8505517,0.193451202,13.22916536,0.011624926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041700,TN,Sullivan,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1487,0.0,0.0,1,3393,U,3393.000002,1.0000000009999999,1614.865688,0.475940374,692.0000012,1.000000002,712.0000046,1.0000000059999998,61.58322786,0.04141441,3393.000002,1.0000000009999999,1614.865688,0.475940374,692.0000012,1.000000002,712.0000046,1.0000000059999998,61.58322786,0.04141441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041800,TN,Sullivan,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2186,2.0,0.0004098,1,4880,U,4762.027508,0.9758253090000001,2841.0842989999996,0.582189406,1034.325933,0.976700598,918.7492133,0.973251285,181.21342969999998,0.08289726900000001,3612.576809,0.740282133,2198.2847,0.450468176,799.1686195,0.7546445890000001,653.8625539,0.69265101,144.42824960000004,0.066069648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163041900,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1385,0.0,0.0,0,3221,U,3017.6658239999997,0.936872345,1188.6464369999999,0.36903025100000003,608.626045,0.936347762,605.3013913,0.939908993,21.83807894,0.015767566,2145.933915,0.6662321999999999,800.8171398,0.248623763,458.4799091,0.7053537059999999,385.2018137,0.598139462,17.37481904,0.012544996000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042000,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1430,0.0,0.0,0,3401,R,3401.000068,1.00000002,1024.5572710000001,0.30125177,702.0000175,1.000000025,627.0000076,1.000000012,45.44154788,0.031777306,2934.7368,0.862904087,900.909183,0.264895379,597.6901644999998,0.851410491,539.5920372,0.860593361,36.68961436,0.025657073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042100,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,2464,218.0,0.0384141,0,5675,U,4725.817709,0.8327432090000001,1591.45354,0.280432342,955.9489960000001,0.900140298,1031.897116,0.7375962229999999,135.6626184,0.055057880999999996,2914.9366410000002,0.5136452229999999,1058.686317,0.186552655,595.0565329,0.5603168860000001,563.8126657,0.40301119799999996,81.73514595,0.033171731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042200,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1284,0.0,0.0,0,3199,R,3199.000013,1.000000004,826.7593171,0.25844305,679.000001,1.0000000009999999,582.0000008,1.0000000009999999,74.84115919,0.058287507,3199.000013,1.000000004,826.7593171,0.25844305,679.000001,1.0000000009999999,582.0000008,1.0000000009999999,74.84115919,0.058287507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042300,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2725,0.0,0.0,0,6780,U,6779.9999579999985,0.9999999940000001,1660.184785,0.24486501300000002,1436.999992,0.9999999940000001,1209.999995,0.9999999959999999,39.35070083,0.014440623999999999,6779.9999579999985,0.9999999940000001,1660.184785,0.24486501300000002,1436.999992,0.9999999940000001,1209.999995,0.9999999959999999,39.35070083,0.014440623999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042400,TN,Sullivan,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1423,0.0,0.0,0,3415,R,3414.9999869999997,0.9999999959999999,1191.8841960000002,0.349014406,686.9999999,1.0,594.9999958,0.999999993,50.88922173,0.035761927,3414.9999869999997,0.9999999959999999,1191.8841960000002,0.349014406,686.9999999,1.0,594.9999958,0.999999993,50.88922173,0.035761927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47163042500,TN,Sullivan,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1490,83.0,0.023519400000000003,0,3529,U,3528.9999770000004,0.999999993,1081.041618,0.306330864,644.99999,0.999999984,807.999998,0.9999999970000001,81.91174303,0.054974324000000005,3520.2374189999996,0.997516979,1079.177134,0.305802532,642.9704642999999,0.996853433,806.8040976,0.9985199229999999,81.72146402,0.05484662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
