GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
0500000US47117,47117,"Marshall County, Tennessee",13494,603,666,192,977,279,11851,682,11930,614,470,142,824,214,10636,667,1026,212,133,93,75,91,818,185,19,19,0,26,4,6,15,17,96,61,25,40,21,30,50,35,122,71,12,19,8,13,102,64,301,115,26,34,45,41,230,106
0500000US47119,47119,"Maury County, Tennessee",40049,837,2506,422,2383,390,35160,947,34334,912,1762,343,1951,322,30621,992,3345,456,401,234,331,142,2613,390,133,87,0,29,12,21,121,85,433,169,90,86,6,11,337,148,440,138,166,90,20,23,254,115,1364,265,87,73,63,58,1214,262
0500000US47121,47121,"Meigs County, Tennessee",4192,286,151,66,332,135,3709,304,3519,257,119,58,277,125,3123,282,509,173,17,26,45,43,447,158,11,17,0,19,0,19,11,17,15,17,5,8,0,19,10,15,77,58,10,15,10,15,57,55,61,44,0,19,0,19,61,44
0500000US47123,47123,"Monroe County, Tennessee",16048,693,1501,336,1468,321,13079,751,13926,720,1171,325,1314,304,11441,735,1378,307,169,127,69,60,1140,281,8,17,0,26,8,17,0,26,172,99,60,55,57,67,55,60,217,105,89,76,20,32,108,82,347,162,12,15,0,26,335,162
0500000US47125,47125,"Montgomery County, Tennessee",86753,1119,6364,811,6137,692,74252,1290,75929,1127,5453,741,5095,603,65381,1222,5794,578,453,144,510,218,4831,504,799,241,154,100,126,85,519,183,693,167,96,58,43,36,554,151,1311,279,67,55,273,179,971,236,2227,437,141,75,90,74,1996,400
0500000US47127,47127,"Moore County, Tennessee",2767,194,152,68,205,92,2410,219,2522,213,136,63,172,86,2214,221,123,63,16,28,16,26,91,56,0,17,0,17,0,17,0,17,25,26,0,17,0,17,25,26,8,14,0,17,0,17,8,14,89,70,0,17,17,28,72,63
0500000US47129,47129,"Morgan County, Tennessee",6885,384,746,196,659,171,5480,381,5669,374,637,184,517,157,4515,361,932,184,70,54,110,76,752,177,0,23,0,23,0,23,0,23,102,67,16,17,7,10,79,63,64,44,0,23,6,9,58,44,118,49,23,24,19,20,76,41
0500000US47131,47131,"Obion County, Tennessee",12307,375,1356,216,1320,233,9631,487,10781,388,1081,201,1159,226,8541,411,762,172,115,85,60,35,587,144,32,31,0,26,10,22,22,23,233,126,41,50,14,17,178,99,159,88,81,73,27,20,51,42,340,140,38,26,50,37,252,135
0500000US47133,47133,"Overton County, Tennessee",8599,361,702,198,804,239,7093,450,7532,371,537,179,689,207,6306,436,686,167,130,72,78,62,478,132,16,19,0,23,0,23,16,19,62,46,5,9,7,11,50,40,45,33,0,23,5,8,40,32,258,98,30,26,25,31,203,90
0500000US47135,47135,"Perry County, Tennessee",2616,243,300,95,146,67,2170,277,1955,235,203,79,90,55,1662,245,200,78,25,17,43,29,132,73,0,17,0,17,0,17,0,17,91,59,18,16,3,6,70,55,121,73,30,26,0,17,91,70,249,120,24,22,10,13,215,116
0500000US47137,47137,"Pickett County, Tennessee",2112,211,166,89,139,80,1807,229,1813,217,90,59,135,79,1588,223,171,75,54,41,4,7,113,66,0,17,0,17,0,17,0,17,21,32,5,7,0,17,16,30,0,17,0,17,0,17,0,17,107,82,17,26,0,17,90,76
0500000US47139,47139,"Polk County, Tennessee",6633,364,446,114,585,189,5602,392,5655,395,342,104,483,177,4830,410,671,188,46,34,57,37,568,192,1,3,1,3,0,19,0,19,111,58,38,29,15,19,58,47,40,30,0,19,7,13,33,27,155,83,19,20,23,30,113,69
0500000US47141,47141,"Putnam County, Tennessee",32069,942,4196,574,2714,520,25159,938,28099,998,3720,538,2268,452,22111,992,2477,315,233,108,197,88,2047,277,21,20,1,4,0,29,20,20,337,114,114,76,90,61,133,60,269,111,35,50,57,45,177,92,866,226,93,69,102,103,671,203
0500000US47143,47143,"Rhea County, Tennessee",12644,574,1254,292,970,284,10420,629,10174,579,850,219,637,202,8687,569,1806,395,328,184,270,209,1208,292,6,10,0,26,0,26,6,10,156,91,35,36,20,23,101,76,85,62,0,26,0,26,85,62,417,116,41,44,43,38,333,115
0500000US47145,47145,"Roane County, Tennessee",20863,802,1273,313,1659,445,17931,786,18047,812,1093,282,1358,401,15596,805,1957,370,148,106,301,169,1508,288,5,10,5,10,0,29,0,29,58,45,9,16,0,29,49,45,98,64,12,21,0,29,86,62,698,212,6,14,0,29,692,213
0500000US47147,47147,"Robertson County, Tennessee",32039,826,1832,384,1617,268,28590,991,26626,822,1268,338,1124,235,24234,933,2930,454,332,138,340,186,2258,396,125,72,22,29,11,24,92,59,345,137,126,82,12,14,207,97,654,209,82,72,34,51,538,172,1359,265,2,5,96,64,1261,248
0500000US47149,47149,"Rutherford County, Tennessee",151930,2025,10605,1075,9278,812,132047,2186,128729,2149,8137,857,7294,751,113298,2063,14257,1225,1365,401,1411,346,11481,1043,464,170,34,35,54,65,376,153,946,287,282,176,160,122,504,174,1684,406,345,189,209,141,1130,312,5850,568,442,165,150,74,5258,569
0500000US47151,47151,"Scott County, Tennessee",8116,458,736,188,933,244,6447,469,6801,383,495,156,799,211,5507,385,790,183,116,74,76,48,598,169,11,17,0,23,0,23,11,17,38,36,10,14,0,23,28,32,246,178,43,51,47,61,156,123,230,141,72,66,11,18,147,119
