GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US47065,47065,"Hamilton County, Tennessee",139037,1141,85872,1341,64336,1242,53165,1277,7.1,0.5,3.8,0.5,1.2,0.3,13.0,1.0,5.7,0.4,2.7,0.4,1.2,0.3,10.9,0.9,11.5,0.6,7.8,0.6,5.1,0.7,18.3,1.2,10.6,0.5,8.0,0.7,6.2,0.6,14.8,1.2,14.9,0.6,13.5,0.7,11.1,0.8,16.7,0.9,17.4,0.6,19.0,0.8,20.1,1.1,14.5,1.1,11.3,0.6,14.8,0.8,17.2,1.0,5.5,0.7,12.5,0.6,17.2,0.8,21.0,1.0,4.2,0.6,4.2,0.4,6.1,0.6,7.7,0.8,0.9,0.3,4.8,0.4,7.0,0.6,9.1,0.9,1.0,0.3,50273,1051,68031,1619,82133,2097,29819,916,72496,1543,90319,2346,105128,3049,41877,1535,33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X)
0500000US47067,47067,"Hancock County, Tennessee",2704,117,1770,142,1322,138,934,113,13.6,3.5,9.0,2.7,3.8,2.3,25.4,7.2,9.7,2.5,5.2,2.7,2.3,2.1,18.2,6.5,20.4,4.4,18.4,5.5,17.1,6.9,24.3,6.8,13.5,3.8,12.3,4.1,11.3,4.8,15.5,7.0,11.8,3.7,14.7,4.9,19.7,6.1,6.1,4.4,14.9,4.1,19.9,6.0,21.7,7.1,5.4,3.5,8.5,2.3,9.5,2.9,10.1,3.3,4.0,3.0,5.5,2.3,7.8,3.3,9.9,4.3,1.2,2.0,0.4,0.5,0.6,0.8,0.8,1.1,0.0,3.7,1.7,1.2,2.5,1.8,3.3,2.4,0.0,3.7,29619,3323,40889,4190,46111,6014,17143,3491,44131,5497,52594,5546,N,N,23502,3944,39.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
0500000US47069,47069,"Hardeman County, Tennessee",8680,278,5896,348,3834,261,2784,269,10.5,2.2,4.9,1.9,3.3,1.7,23.1,4.7,8.4,1.9,4.7,1.9,2.4,1.4,17.3,4.6,15.0,1.8,11.0,2.1,7.9,2.4,25.0,4.6,14.5,2.5,15.6,2.8,14.7,3.3,12.8,3.8,17.0,2.6,19.0,3.2,16.1,3.0,11.5,4.0,16.8,2.9,21.0,3.7,23.2,4.5,6.0,3.0,9.0,2.0,11.9,2.6,16.3,3.6,2.4,1.9,6.7,1.5,9.0,2.1,12.9,2.9,1.3,1.3,1.3,0.7,2.0,1.0,2.2,1.3,0.0,1.2,0.8,0.6,1.0,0.8,0.8,0.8,0.5,0.6,36686,2852,45084,2479,55243,2764,17956,2119,48388,3176,56808,2808,N,N,28582,6799,39.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X)
0500000US47071,47071,"Hardin County, Tennessee",10118,354,7099,346,5400,305,3019,317,10.8,2.1,5.0,1.7,1.9,1.1,26.6,5.6,6.0,1.5,3.5,1.6,1.3,0.9,14.4,3.9,17.6,2.5,14.9,2.8,12.3,3.3,23.2,5.1,9.8,1.9,8.3,1.9,8.9,2.3,12.2,3.4,15.8,2.2,17.6,2.7,18.2,3.2,10.1,3.5,17.3,2.2,21.1,2.7,21.7,3.1,9.4,4.0,10.2,1.9,12.5,2.4,14.8,3.0,3.6,1.7,7.9,1.6,10.7,2.3,12.6,2.6,0.5,0.7,2.0,0.8,2.8,1.2,3.7,1.6,0.0,1.2,2.5,0.7,3.6,1.0,4.7,1.4,0.0,1.2,39092,2401,50787,3431,58767,4790,17416,2217,57026,4351,69940,5984,N,N,24838,2668,37.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X)
0500000US47073,47073,"Hawkins County, Tennessee",23375,448,15761,438,11222,437,7614,506,9.2,1.4,6.5,1.8,2.7,1.0,17.2,3.4,7.7,1.2,4.5,1.3,2.7,1.2,13.9,2.6,16.0,1.5,11.4,1.7,7.8,1.6,27.6,3.4,12.6,1.5,12.1,1.6,12.1,2.0,12.1,3.0,16.0,1.6,16.7,2.1,16.3,2.2,14.6,2.6,19.3,1.6,23.7,2.1,26.6,2.6,8.4,2.1,8.7,1.0,11.7,1.4,15.1,1.8,2.4,1.2,7.1,1.1,9.1,1.6,11.8,2.2,3.1,1.1,2.0,0.6,2.7,0.8,3.0,0.9,0.6,0.6,1.3,0.5,1.7,0.7,1.9,0.9,0.2,0.4,38728,1425,48913,2507,56804,3269,21875,1605,51890,2267,61052,3482,67990,3595,30918,2844,31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
0500000US47075,47075,"Haywood County, Tennessee",7104,216,4660,300,3003,265,2444,247,14.9,2.9,8.0,2.9,2.7,2.1,28.5,5.6,7.1,1.7,2.5,1.3,0.3,0.5,16.0,4.9,13.3,2.6,12.2,3.3,5.4,2.7,18.3,5.1,12.5,2.3,14.1,3.3,13.3,4.1,9.7,3.5,15.9,3.0,16.1,3.6,16.4,4.6,13.6,4.0,15.9,2.5,19.3,3.4,25.2,5.0,8.6,3.6,10.1,2.2,12.7,2.7,15.7,3.8,4.5,2.8,7.6,1.6,11.2,2.4,15.3,3.5,0.7,0.8,0.9,0.5,1.3,0.8,1.6,1.1,0.0,1.4,1.8,1.0,2.7,1.4,4.0,2.1,0.2,0.3,36118,1856,46910,5195,60587,6313,17932,3647,51656,5806,64907,7799,N,N,25044,2985,40.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X)
0500000US47077,47077,"Henderson County, Tennessee",10827,344,7347,454,5509,385,3480,397,11.0,2.6,6.2,2.6,1.7,1.0,21.5,5.5,6.0,1.5,4.6,1.7,3.0,1.8,10.1,3.5,13.5,2.6,9.7,3.0,5.4,1.9,22.2,5.4,12.0,2.0,11.6,2.7,9.7,2.5,13.8,3.8,13.9,2.2,14.6,3.0,13.9,3.4,12.6,3.7,22.0,2.5,24.4,3.7,29.8,4.9,13.7,4.4,11.2,2.3,15.1,2.9,18.4,3.5,4.0,3.0,6.3,2.0,8.4,2.5,10.7,3.3,0.6,0.7,2.9,1.0,3.8,1.4,5.0,1.8,1.0,1.0,1.3,0.7,1.7,1.0,2.3,1.3,0.4,0.5,42711,3237,52689,3044,62305,4442,22896,2861,52889,3193,62061,4276,N,N,31331,3632,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
0500000US47079,47079,"Henry County, Tennessee",13483,359,9059,320,6866,343,4424,338,8.4,1.6,5.0,1.5,1.7,1.0,15.8,4.0,8.6,1.5,5.1,1.5,3.7,1.6,16.1,3.8,13.9,1.8,9.4,2.0,6.5,1.5,24.8,4.3,14.1,2.1,12.7,2.4,11.5,2.5,16.6,3.5,16.5,2.2,18.7,3.0,19.0,3.1,11.6,2.8,18.4,2.1,22.3,2.6,25.3,3.1,8.5,2.7,9.0,1.7,11.6,2.1,13.4,2.5,4.0,1.9,7.4,1.5,10.5,2.3,13.0,3.0,1.3,1.1,2.1,1.0,2.6,1.3,3.4,1.7,0.5,0.7,1.6,0.7,2.1,1.0,2.7,1.2,0.8,0.6,40415,1748,49053,2904,57305,3373,22017,2029,54129,3640,63653,4884,72976,5888,33343,5328,37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X)
0500000US47081,47081,"Hickman County, Tennessee",8930,273,5983,363,4466,371,2947,336,8.4,2.3,3.9,1.7,0.7,0.6,18.5,6.0,8.5,2.2,5.4,2.3,3.2,1.8,14.7,4.5,14.4,2.4,10.0,2.7,6.3,2.8,24.8,5.9,13.0,2.3,12.7,3.0,12.6,3.7,13.9,4.2,18.1,3.0,20.8,4.0,21.1,4.8,12.0,4.6,17.2,2.8,20.3,3.0,22.7,4.1,10.2,3.8,9.3,2.3,13.0,3.3,15.4,4.2,2.6,1.9,7.0,1.7,9.1,2.2,12.0,2.9,0.7,0.6,2.8,1.2,3.0,1.4,3.8,1.9,1.8,2.0,1.3,0.9,1.7,1.3,2.3,1.8,0.5,0.7,39333,2513,47238,2668,55134,5403,21091,2995,55732,9044,66318,12775,N,N,31426,4428,40.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),44.1,(X)
0500000US47083,47083,"Houston County, Tennessee",2999,150,2061,141,1697,156,938,129,8.2,2.6,2.0,1.6,0.4,0.6,22.2,6.4,7.3,1.9,3.6,2.0,3.7,2.0,15.5,4.8,13.0,3.1,12.0,3.7,9.3,3.4,16.7,6.6,11.6,3.0,11.1,3.3,11.0,3.4,15.4,5.8,21.0,3.1,21.8,3.9,21.3,4.3,16.0,6.2,19.7,3.4,24.4,4.1,27.0,4.8,8.2,5.9,8.9,2.0,11.2,2.7,11.5,3.4,3.3,2.4,6.9,2.5,9.9,3.6,11.1,4.1,0.3,0.6,1.4,1.0,2.1,1.4,2.5,1.7,0.0,3.7,2.0,1.3,1.8,1.6,2.2,2.0,2.5,2.0,41820,2677,49534,4649,53521,4453,20676,5930,54198,6870,60375,5819,N,N,39283,16662,49.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),58.5,(X)
