GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US47125,47125,"Montgomery County, Tennessee",117962,155,9615,769,34728,1355,42673,1103,21201,931,9745,703,95156,1464,8180,681,29090,1285,33356,1095,16633,801,7897,607,11703,1002,1024,315,3468,540,4636,700,1965,368,610,199,1777,303,199,115,520,156,539,164,350,121,169,77,7922,990,196,93,1504,330,3432,581,1890,345,900,249,1404,312,16,17,146,95,710,258,363,122,169,93
0500000US47127,47127,"Moore County, Tennessee",4566,132,580,126,1879,211,1218,190,595,146,294,86,4160,182,525,115,1785,199,1044,185,512,139,294,86,200,100,11,14,35,30,100,76,54,57,0,17,185,105,37,45,58,55,74,70,16,18,0,17,14,20,0,17,1,3,0,17,13,20,0,17,7,10,7,10,0,17,0,17,0,17,0,17
0500000US47129,47129,"Morgan County, Tennessee",15609,82,2902,291,7900,407,3608,328,742,164,457,125,13489,295,2368,289,6819,388,3167,328,709,168,426,126,596,149,151,58,321,126,92,55,15,18,17,20,1313,218,349,79,659,188,273,93,18,13,14,16,196,107,32,27,90,73,74,52,0,23,0,23,15,18,2,5,11,18,2,4,0,23,0,23
0500000US47131,47131,"Obion County, Tennessee",21400,94,3626,368,9065,442,5368,393,2179,284,1162,225,19307,275,3133,358,8330,422,4763,385,1973,282,1108,227,1071,175,292,105,375,96,293,104,83,48,28,18,688,167,129,59,241,76,225,89,84,65,9,15,334,112,72,72,119,72,87,56,39,54,17,21,0,26,0,26,0,26,0,26,0,26,0,26
0500000US47133,47133,"Overton County, Tennessee",15314,82,3126,244,7019,413,3177,286,1298,237,694,164,14363,202,2975,243,6569,429,2943,286,1201,234,675,165,451,142,99,45,264,110,53,35,16,21,19,22,375,151,43,38,148,82,153,75,31,34,0,23,125,71,9,13,38,40,28,35,50,50,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US47135,47135,"Perry County, Tennessee",5578,93,1432,225,2103,229,1439,179,400,129,204,73,5224,143,1400,228,1930,228,1309,175,383,127,202,73,225,78,11,18,111,46,94,55,9,12,0,17,89,42,13,16,44,29,29,22,3,8,0,17,34,26,8,11,15,16,7,10,2,3,2,4,6,8,0,17,3,5,0,17,3,4,0,17
0500000US47137,47137,"Pickett County, Tennessee",3950,60,1031,212,1616,215,1027,191,185,72,91,71,3493,167,946,209,1460,214,831,167,168,72,88,69,191,105,49,36,108,79,31,36,0,17,3,6,186,139,8,10,22,33,140,126,16,27,0,17,80,53,28,24,26,23,25,23,1,3,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0500000US47139,47139,"Polk County, Tennessee",12097,29,2360,313,4900,377,3526,327,798,150,513,164,10924,299,1941,280,4544,384,3208,338,748,144,483,160,450,155,115,63,172,78,137,66,20,26,6,9,428,181,244,170,116,56,56,57,3,5,9,11,272,155,54,39,66,51,124,95,13,14,15,18,23,20,6,10,2,5,1,4,14,17,0,19
0500000US47141,47141,"Putnam County, Tennessee",48159,157,7056,571,18137,824,11025,622,7615,556,4326,507,43159,656,6393,551,16346,825,9908,568,6848,541,3664,427,2703,395,400,139,1068,252,555,164,387,121,293,125,1070,264,171,86,333,130,374,163,118,56,74,52,957,298,61,52,377,173,176,84,172,80,171,117,270,221,31,48,13,16,12,14,90,107,124,94
0500000US47143,47143,"Rhea County, Tennessee",22093,89,5020,621,8113,554,5825,435,2011,322,1124,212,19159,507,4131,510,7112,591,5174,471,1754,280,988,197,1834,391,576,296,614,188,428,180,105,81,111,77,605,201,153,71,224,139,140,88,63,50,25,26,435,173,120,108,163,128,63,62,89,71,0,26,60,38,40,36,0,26,20,24,0,26,0,26
0500000US47145,47145,"Roane County, Tennessee",38880,162,5181,591,14640,796,11541,645,4461,495,3057,353,34496,540,4506,590,12781,712,10501,636,4021,471,2687,317,2225,445,444,159,925,239,572,220,160,108,124,131,1090,293,169,159,483,221,210,96,160,89,68,58,845,323,46,43,339,240,258,158,93,55,109,63,224,144,16,26,112,102,0,29,27,32,69,97
0500000US47147,47147,"Robertson County, Tennessee",46223,154,6137,571,18279,868,13435,647,5617,439,2755,341,40933,505,5450,534,16373,844,11656,648,4997,420,2457,335,2362,376,350,149,1012,219,797,213,148,76,55,37,2160,371,313,130,698,201,563,146,382,149,204,84,688,264,19,24,187,120,362,147,90,55,30,30,80,70,5,7,9,10,57,67,0,29,9,15
0500000US47149,47149,"Rutherford County, Tennessee",185540,68,16978,985,52917,1587,56621,1588,41285,1542,17739,879,160053,1522,14488,932,46115,1585,48095,1442,35690,1480,15665,817,13354,950,1391,286,3638,517,4315,643,2983,439,1027,281,5932,707,580,191,1798,364,1929,383,1137,236,488,165,5472,740,450,206,1263,320,2094,390,1189,302,476,174,729,245,69,83,103,72,188,169,286,156,83,66
0500000US47151,47151,"Scott County, Tennessee",14877,52,3260,338,6735,537,3640,447,650,170,592,171,13474,328,2923,328,6064,477,3367,480,559,157,561,171,1063,293,210,154,505,179,255,122,69,63,24,27,194,112,99,63,73,50,9,16,13,19,0,23,117,71,15,19,77,63,9,16,9,15,7,11,29,32,13,18,16,25,0,23,0,23,0,23
0500000US47153,47153,"Sequatchie County, Tennessee",10320,92,1744,309,4213,352,2868,359,882,180,613,187,9426,242,1547,298,3913,346,2639,334,777,173,550,181,326,136,115,84,155,71,44,37,12,14,0,19,411,226,77,55,114,83,138,136,45,40,37,40,152,75,0,19,31,30,47,37,48,43,26,29,5,7,5,7,0,19,0,19,0,19,0,19
0500000US47155,47155,"Sevier County, Tennessee",67341,273,11142,871,24542,1016,19545,877,7853,579,4259,528,58254,1016,9436,768,21473,929,16921,868,6808,548,3616,488,4534,748,963,366,1359,401,1252,264,574,192,386,183,2029,500,314,151,641,242,764,305,246,181,64,58,2288,524,328,211,1030,310,561,228,225,110,144,75,236,169,101,111,39,43,47,45,0,29,49,58
0500000US47157,47157,"Shelby County, Tennessee",607366,94,75338,1981,164612,2895,181701,2411,113166,2184,72549,1771,522614,2715,62525,1699,142199,2681,155122,2494,99073,2064,63695,1756,62046,2181,10140,986,17640,1242,19517,1125,9002,854,5747,705,6147,760,898,262,1566,310,1917,380,1069,274,697,198,14611,1122,1423,278,2903,480,4820,707,3395,577,2070,369,1948,356,352,130,304,129,325,130,627,218,340,141
0500000US47159,47159,"Smith County, Tennessee",13197,93,2132,258,6330,317,3259,282,903,154,573,139,12228,211,1899,234,5877,348,3066,276,848,147,538,136,507,138,171,82,223,71,74,33,20,21,19,22,382,136,58,47,184,76,106,56,18,31,16,16,80,57,4,8,46,35,13,22,17,25,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US47161,47161,"Stewart County, Tennessee",9417,100,1187,247,4006,319,2800,269,909,174,515,155,8394,304,1132,248,3540,301,2402,240,851,169,469,144,285,134,10,11,151,106,74,57,26,37,24,26,498,219,26,28,235,158,209,114,15,24,13,19,207,109,9,13,68,52,107,76,14,19,9,15,33,31,10,16,12,12,8,10,3,6,0,19
0500000US47163,47163,"Sullivan County, Tennessee",113348,208,16194,846,40169,1168,32095,1064,15032,812,9858,550,99787,962,13889,718,35686,1096,27506,1087,13668,792,9038,537,7401,683,1526,303,2455,352,2451,375,667,167,302,126,2722,461,365,142,1013,268,739,216,386,180,219,96,3183,459,369,126,937,251,1352,299,276,102,249,108,255,90,45,42,78,46,47,39,35,31,50,33
0500000US47165,47165,"Sumner County, Tennessee",119289,148,12400,707,37494,1079,37735,1151,21302,907,10358,688,103294,1112,10316,631,33171,1080,32975,1153,17632,856,9200,668,7966,716,1161,313,2509,406,2583,344,1483,330,230,76,4052,642,507,221,998,251,1102,253,935,217,510,192,3509,487,347,142,682,193,1001,280,1084,282,395,132,468,199,69,56,134,93,74,64,168,135,23,33
0500000US47167,47167,"Tipton County, Tennessee",40435,78,5483,513,16239,687,12524,649,3826,394,2363,319,35593,536,4776,505,14307,637,10971,616,3404,367,2135,305,2198,421,403,130,1026,288,595,179,79,75,95,83,1432,297,228,86,472,211,501,178,188,99,43,50,986,304,76,62,357,191,349,160,150,109,54,51,226,102,0,29,77,57,108,75,5,7,36,40
0500000US47169,47169,"Trousdale County, Tennessee",5999,240,1209,265,2397,308,1480,319,645,213,268,122,5286,344,1108,245,2002,357,1329,301,611,213,236,115,265,146,58,67,88,95,94,112,0,17,25,40,389,187,43,39,262,155,50,41,34,39,0,17,46,53,0,17,39,51,0,17,0,17,7,13,13,15,0,17,6,10,7,12,0,17,0,17
0500000US47171,47171,"Unicoi County, Tennessee",13171,131,2255,255,5356,457,3598,402,1329,221,633,190,11943,241,2045,269,4961,451,3096,363,1244,226,597,190,615,175,120,78,145,77,319,134,27,27,4,7,270,116,35,26,131,77,60,58,24,30,20,29,280,115,31,33,89,61,114,82,34,40,12,19,63,72,24,32,30,37,9,16,0,19,0,19
0500000US47173,47173,"Union County, Tennessee",13463,47,3064,349,6285,432,2930,302,729,171,455,117,12500,202,2884,350,5819,424,2674,297,689,169,434,114,432,125,111,60,207,102,92,53,4,6,18,23,404,134,53,38,200,98,141,76,7,11,3,6,123,79,16,26,55,38,23,25,29,35,0,19,4,7,0,19,4,7,0,19,0,19,0,19
0500000US47175,47175,"Van Buren County, Tennessee",4160,47,799,139,1997,173,953,145,211,78,200,66,3876,120,762,137,1871,165,871,144,187,63,185,63,59,27,20,15,20,17,19,19,0,17,0,17,159,71,17,18,87,53,40,28,0,17,15,17,57,49,0,17,14,21,19,27,24,37,0,17,9,11,0,17,5,9,4,7,0,17,0,17
0500000US47177,47177,"Warren County, Tennessee",27431,66,5673,554,11686,524,6134,451,2352,277,1586,280,24333,489,4920,543,10282,514,5381,471,2218,265,1532,273,2190,445,563,218,1002,285,486,168,113,66,26,21,609,205,126,84,287,125,166,93,21,25,9,15,230,120,33,25,85,76,93,83,0,26,19,28,69,48,31,29,30,35,8,13,0,26,0,26
0500000US47179,47179,"Washington County, Tennessee",86310,251,9403,698,25929,1060,23464,945,16158,872,11356,814,75416,928,8271,682,23156,944,20097,883,14242,815,9650,728,6145,690,694,200,1400,315,2096,375,1118,319,837,235,2443,517,306,156,876,312,594,196,440,161,227,124,1961,389,111,67,446,165,626,183,283,119,495,175,345,152,21,20,51,47,51,49,75,79,147,94
0500000US47181,47181,"Wayne County, Tennessee",12263,83,2580,231,5478,388,2846,268,781,209,578,165,11446,254,2428,228,5162,365,2634,271,678,185,544,151,398,150,91,53,135,85,79,59,73,82,20,29,339,165,61,33,129,67,131,145,7,14,11,13,60,46,0,19,52,43,2,5,3,5,3,5,20,31,0,19,0,19,0,19,20,31,0,19
0500000US47183,47183,"Weakley County, Tennessee",21476,122,3431,365,8419,424,5153,373,2868,306,1605,211,19261,326,2908,315,7776,387,4546,375,2631,300,1400,195,1336,263,257,111,390,142,471,138,139,52,79,42,445,138,105,74,138,82,66,35,88,61,48,35,381,132,129,90,115,70,66,35,3,5,68,51,53,43,32,44,0,26,4,7,7,11,10,10
0500000US47185,47185,"White County, Tennessee",18577,140,3223,371,8324,521,4737,438,1511,309,782,165,16812,328,2860,367,7672,518,4181,444,1337,296,762,164,981,254,255,119,438,172,225,100,43,58,20,19,580,221,90,52,156,112,203,154,131,74,0,23,194,145,18,24,48,49,128,108,0,23,0,23,10,15,0,23,10,15,0,23,0,23,0,23
0500000US47187,47187,"Williamson County, Tennessee",137338,156,6152,592,19744,1085,31640,1231,50465,1139,29337,1278,117849,1281,5322,552,17460,967,27012,1238,43104,1274,24951,1172,6881,845,307,137,810,258,1970,400,2466,417,1328,291,6498,764,285,144,999,264,1313,336,2464,443,1437,319,5343,760,178,100,380,154,1261,309,2064,362,1460,292,767,242,60,63,95,72,84,64,367,142,161,87
0500000US47189,47189,"Wilson County, Tennessee",88039,129,8153,721,26186,1047,27565,1025,18391,1101,7744,581,77357,988,7203,671,22909,1023,24154,1022,16187,1039,6904,569,4746,713,469,169,1660,318,1520,361,895,315,202,103,3370,495,328,130,1013,237,917,275,720,281,392,148,2238,436,102,82,545,174,883,277,465,191,243,102,328,164,51,49,59,49,91,81,124,81,3,5
