GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US47027,47027,"Clay County, Tennessee",5600,64,1297,188,2530,250,1058,181,368,119,347,117,5068,203,1170,181,2309,263,938,168,322,118,329,114,205,100,47,30,82,63,52,50,24,31,0,17,277,160,70,79,117,86,68,52,22,30,0,17,50,49,10,13,22,26,0,17,0,17,18,22,0,17,0,17,0,17,0,17,0,17,0,17
0500000US47029,47029,"Cocke County, Tennessee",25364,146,5332,440,11393,603,5749,550,1793,352,1097,264,23289,453,5111,448,10180,623,5379,554,1563,304,1056,254,1186,346,98,49,752,295,231,127,83,57,22,24,402,197,52,36,207,134,80,73,44,47,19,30,486,196,71,60,253,141,59,66,103,106,0,26,1,2,0,26,1,2,0,26,0,26,0,26
0500000US47031,47031,"Coffee County, Tennessee",36721,137,4925,466,13922,690,10923,678,4414,488,2537,343,32530,515,4259,433,12213,703,9732,673,3982,464,2344,327,2342,361,349,149,1122,241,637,166,211,125,23,28,897,206,120,69,294,112,355,124,95,58,33,26,835,293,179,129,276,141,189,113,110,72,81,88,117,98,18,20,17,26,10,15,16,27,56,74
0500000US47033,47033,"Crockett County, Tennessee",9854,84,2049,243,4085,291,2438,261,805,139,477,105,9006,211,1880,227,3694,299,2232,239,770,126,430,103,398,135,80,77,175,71,107,63,11,13,25,22,380,123,66,38,193,76,75,54,24,27,22,26,70,43,23,23,23,23,24,27,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US47035,47035,"Cumberland County, Tennessee",44068,106,6796,629,16746,602,12337,573,5237,449,2952,307,38048,624,5752,553,14386,676,10707,553,4559,415,2644,284,3509,580,604,241,1576,343,881,189,344,173,104,64,1128,323,248,178,381,150,382,160,50,44,67,53,1292,318,179,112,385,109,328,154,263,130,137,81,91,80,13,20,18,20,39,59,21,30,0,29
0500000US47037,47037,"Davidson County, Tennessee",464026,93,55568,1603,106573,2467,120460,2692,114156,2174,67269,1839,385214,2502,47869,1473,90920,2309,100132,2467,91665,2033,54628,1569,46602,2132,5322,684,10174,1017,12764,866,12101,936,6241,573,11285,800,768,209,2586,407,2922,417,3340,459,1669,279,17216,1141,1170,378,2066,376,4050,552,5943,597,3987,568,3709,663,439,229,827,317,592,425,1107,326,744,245
0500000US47039,47039,"Decatur County, Tennessee",8390,57,1399,216,3718,257,2307,217,656,122,310,88,7752,148,1276,197,3437,275,2118,225,615,124,306,88,293,122,60,53,140,90,86,55,7,12,0,19,228,76,56,39,97,53,62,28,9,11,4,7,113,62,7,13,42,43,39,29,25,20,0,19,4,9,0,19,2,4,2,5,0,19,0,19
0500000US47041,47041,"DeKalb County, Tennessee",13623,145,2847,372,5906,420,3016,327,1214,221,640,154,12142,349,2409,369,5356,418,2688,315,1052,219,637,154,893,267,337,135,337,160,183,99,36,33,0,19,461,161,89,49,153,77,111,56,108,85,0,19,123,83,12,21,60,59,30,36,18,27,3,6,4,7,0,19,0,19,4,7,0,19,0,19
0500000US47043,47043,"Dickson County, Tennessee",35020,220,5971,548,15092,658,8817,631,3379,379,1761,286,31043,540,5115,531,13598,671,7669,624,3023,403,1638,283,1879,344,411,146,745,202,547,207,140,99,36,43,1382,290,339,136,586,164,334,151,74,62,49,47,700,207,98,76,155,89,267,99,142,122,38,36,16,16,8,13,8,13,0,29,0,29,0,29
0500000US47045,47045,"Dyer County, Tennessee",25448,158,4197,456,9899,666,6748,498,2959,387,1645,296,21913,524,3745,420,8118,576,5766,505,2713,386,1571,298,2642,472,351,164,1383,315,668,216,181,105,59,53,651,206,69,43,296,116,251,156,32,35,3,7,174,115,32,51,55,69,54,61,33,33,0,26,68,56,0,26,47,40,9,18,0,26,12,18
